text;created_at;coordinates;retweet_count;favorite_count;screen_name;location;lang;followers_count;geo_enabled;statuses_count;lat;long;hashtags
"#Why does my nested loop throw an exception in Python?
#Tech #News #HowTo
https://t.co/yzfQq1vEyF";Wed Aug 17 13:37:27 +0000 2016;;0.0;0.0;AdamSmitht1;CN;en;1410.0;False;468436.0;35.000074;104.999927;#Why #Tech #News #HowTo
RT @craigbrownphd: Amazon Kinesis Analytics and the road to Big Data's killer app: Kinesis Analytics makes i... https://t.co/WOUHY8eXS9 #Bi…;Wed Aug 17 13:37:34 +0000 2016;;0.0;0.0;j0nkavanaugh;Chicago;en;48.0;True;3571.0;41.8755546;-87.6244211;#Bi…
@QNAP_nas debuts double server TDS-16489U featuring dual @Intel #Xeon E5 #CPU for #bigdata computing @AnnaRibeiro9 https://t.co/hXZTgXxBPj;Wed Aug 17 13:37:34 +0000 2016;;0.0;0.0;IoTInnovator;Beverly Hills, CA;en;45.0;False;208.0;34.0736204;-118.4003562;#Xeon #CPU #bigdata
"RT @MichelleVito: you show me love never apart, you're always there for me i'm alright. you are the spark 🎶 #LSS
@lizasoberano 😍😍 https://t…";Wed Aug 17 13:37:35 +0000 2016;;0.0;0.0;jaypenpen;Atimonan, Calabarzon;en;7.0;False;81.0;13.9968413;121.9292345;#LSS
#Sr Software Engineer Java/Python/Javascript Fullstack #jobs #career #: #NJ-South Brunswick, This company run... https://t.co/Y7nThrUCI7;Wed Aug 17 13:37:35 +0000 2016;;0.0;0.0;jobnec;Deutschland;de;1555.0;False;93409.0;51.0834196;10.4234469;#Sr #jobs #career #: #NJ-South
You are the spark.;Wed Aug 17 13:37:42 +0000 2016;;0.0;0.0;aaaroonvargas;Angono,Rizal;en;220.0;True;1917.0;14.5253956;121.1534448;
"RT @Dory: It's always Florida. Always.  RT ”@SeriousStrange: A 17ft python pregnant with 87 eggs was caught in Florida."" https://t.co/pXJfj…";Wed Aug 17 13:37:44 +0000 2016;;0.0;0.0;LaurenKeller_;Orlando, FL;en;927.0;True;38676.0;28.5421175;-81.3790461;
yadakansei0228: HyperScale HyperConvergence Big Data Cloud Advanced Training - https://t.co/EVzY9GXwa2 Can I Help?: https://t.co/uv043HELe6;Wed Aug 17 13:37:54 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066874.0;37.7792808;-122.4192362;
"#Ukip 🇬🇧

Jean-Claude Juncker warned he could spark European CIVIL WAR with arrogant Brexit stance https://t.co/aKHFZviimU";Wed Aug 17 13:37:54 +0000 2016;;0.0;0.0;Fight4UK;GREAT BRITAIN ;en;15440.0;False;195780.0;54.31536155;-1.91802339480124;#Ukip
"RT @Dory: It's always Florida. Always.  RT ”@SeriousStrange: A 17ft python pregnant with 87 eggs was caught in Florida."" https://t.co/pXJfj…";Wed Aug 17 13:37:55 +0000 2016;;0.0;0.0;jazlynnivette;Florida, USA;en;162.0;False;1732.0;27.7567667;-81.4639834;
"RT @SecurityTube: #Python for Hackers &amp; Pentesters, https://t.co/CxZwWl3fPy Join professionals from 90+ countries! Grab Your Seat Now! http…";Wed Aug 17 13:37:55 +0000 2016;;0.0;0.0;AqilahArffin;Kuala Perlis, Perlis;en;639.0;True;4984.0;6.400695;100.136108;#Python
SanDisk Big Data and Flash: Why Is This the Future? [Video] | 7wData https://t.co/m4o3l7gODF;Wed Aug 17 13:38:01 +0000 2016;;0.0;0.0;PhilMarshman;Swindon, England;en;2517.0;True;425.0;51.5613683;-1.7856852;
1llan: 1ClickCassandraCluster for Your Big Data Center Cloud - https://t.co/HzceuBEDq6 Pro Puppet: https://t.co/SbOmyhPREc;Wed Aug 17 13:38:01 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066876.0;37.7792808;-122.4192362;
"Big data and robotics: A long history together &gt;https://t.co/FCC0iRS9jJ&lt; #analytics #BigData #robotics @ZDNet https://t.co/OsKJeyqCJb";Wed Aug 17 13:38:02 +0000 2016;;0.0;0.0;MTI_France;Croissy sur Seine;fr;631.0;True;2215.0;48.8792031;2.1325772;#analytics #BigData #robotics
"#thoughtposition #sculpture
a spark between
over and over again
began to corrode";Wed Aug 17 13:38:15 +0000 2016;;0.0;0.0;thoughtposition;Huddersfield, England;en;34.0;False;7417.0;53.6467031;-1.7832076;#thoughtposition #sculpture
lws_101: 1ClickSparkCluster for Your Big Data Center Cloud - https://t.co/Xt9pA8vyao Big Data poder los datos: https://t.co/862zIwgbhd;Wed Aug 17 13:38:19 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066877.0;37.7792808;-122.4192362;
RT @BestMovieLine: Monty Python and the Holy Grail https://t.co/wHZ2kHAzy5;Wed Aug 17 13:38:20 +0000 2016;;0.0;0.0;JacobAlley12;Elmhurst, IL;en;349.0;False;1676.0;41.8994745;-87.9403417;
RT @OReillyMedia: Get beyond the basics of Python with @redsymbol 's 2-day hands-on, in-depth Python training Aug 23-24 https://t.co/rpcos0…;Wed Aug 17 13:38:29 +0000 2016;;0.0;0.0;MikeHerman;Denver, CO;en;802.0;True;8114.0;39.7391536;-104.9847033;
Staying w a nigga for the night for a spark up lmaoooooo bitch please don't get me staaaaarted;Wed Aug 17 13:38:37 +0000 2016;;0.0;0.0;kbellexx;University of Rhode Island;en;9689.0;True;60015.0;41.8295635;-71.4162769;
#Psychosocial #BigData = better patient care/outcomes @MandiBPro @ProfAmyE @keenzai https://t.co/1ImD2zNXmA #hcldr #hit #healthcare #nih;Wed Aug 17 13:38:39 +0000 2016;;0.0;0.0;mbschoening;Boston area;en;221.0;True;683.0;14.5879878;120.9677966;#Psychosocial #BigData #hcldr #hit #healthcare #nih
RT @BestMovieLine: Monty Python and the Holy Grail https://t.co/wHZ2kHAzy5;Wed Aug 17 13:38:41 +0000 2016;;0.0;0.0;TheNickRamirez;Valparaiso, Chile;es;569.0;False;9973.0;-33.0462474;-71.6198031;
idhstg: 1ClickSparkCluster for Your Big Data Center Cloud - https://t.co/Xt9pA8vyao Global Marketing Kate Gillespie: https://t.co/EW3O6aTXJE;Wed Aug 17 13:38:45 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066879.0;37.7792808;-122.4192362;
especially when you are buying BIG DATA?;Wed Aug 17 13:38:46 +0000 2016;;0.0;0.0;ficoshutdown181;Oregon, USA;en;1545.0;False;24460.0;43.9792797;-120.7372569;
"This ""hack"" should be turned in to an official #python PEP, so useful (even hacky) https://t.co/GuWFCdRJ73";Wed Aug 17 13:38:47 +0000 2016;;0.0;0.0;rochacbruno;São Paulo, Brasil;pt;2580.0;True;24503.0;-23.5506506;-46.6333823;#python
cabhijeet: 1ClickKafkaCluster for Your Big Data Center Cloud - https://t.co/nw2oSUiyRB Start-up Entrepreneur: 2: https://t.co/BWQvuu1iBw;Wed Aug 17 13:38:52 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066880.0;37.7792808;-122.4192362;
This #job might be a great fit for you: Software Engineer-Hadoop-ETL - https://t.co/8S5e2eD2A1 #IT #Newton, MA https://t.co/7RF1JUGknt;Wed Aug 17 13:38:57 +0000 2016;{'type': 'Point', 'coordinates': [-70.963869, 42.267327]};0.0;0.0;FTGiGSJobs;Saint Simons Island, GA;en;1167.0;True;8687.0;31.2182863;-81.3612076;#job #IT #Newton,
Why Athletes are using Big Data and Analytics to win Olympic Games? #BigData #Rio2016 https://t.co/hG7OGQAs2f;Wed Aug 17 13:39:00 +0000 2016;;0.0;0.0;CharleneMaoFR;France;en;37.0;False;112.0;46.603354;1.8883335;#BigData #Rio2016
@QNAP_nas debuts double server TDS-16489U featuring dual @Intel #Xeon E5 #CPU for #bigdata computing #datacenter https://t.co/j07HdOEeJ7;Wed Aug 17 13:39:03 +0000 2016;;0.0;0.0;AnnaRibeiro9;Bangalore, India;en;501.0;False;10308.0;12.9791198;77.5912997;#Xeon #CPU #bigdata #datacenter
RT @HeathWallace: Five interesting ways tech is being used in sports https://t.co/suFSqAVY7B via @techworldnews;Wed Aug 17 13:39:05 +0000 2016;;0.0;0.0;techworldnews;London, England;en;13110.0;True;15711.0;51.5073219;-0.1276473;
RT @craigbrownphd: Amazon Kinesis Analytics and the road to Big Data's killer app: Kinesis Analytics makes i... https://t.co/WOUHY8eXS9 #Bi…;Wed Aug 17 13:39:06 +0000 2016;;0.0;0.0;DrewHershey1;Johnston, IA;en;252.0;True;4141.0;41.6731523;-93.6973394;#Bi…
RT @TheBeyHiveTeam: And don't come in our mentions trying to spark that old Legion beef. Legion the only 1 keeping ya'll laced with updates…;Wed Aug 17 13:39:06 +0000 2016;;0.0;0.0;BeyonceBrooklyn;UK;en;2413.0;True;39281.0;54.7023545;-3.2765752;
"RT @MichelleVito: you show me love never apart, you're always there for me i'm alright. you are the spark 🎶 #LSS
@lizasoberano 😍😍 https://t…";Wed Aug 17 13:39:08 +0000 2016;;0.0;0.0;cardiogirl07;Davao City;en;63.0;False;14910.0;7.22650725;125.454887691355;#LSS
Check out @govtechnews' article about how government can use big data analytics for the altruistic good of citizens: https://t.co/CeN6Cit4k8;Wed Aug 17 13:39:08 +0000 2016;;0.0;0.0;SeamlessDocs;New York City;en;1038.0;True;1172.0;40.7305991;-73.9865811;
RT @BestMovieLine: Monty Python and the Holy Grail https://t.co/wHZ2kHAzy5;Wed Aug 17 13:39:17 +0000 2016;;0.0;0.0;vinicaz;Rio de Janeiro;pt;177.0;False;31355.0;-22.9110136;-43.2093726;
"RT @MichelleVito: you show me love never apart, you're always there for me i'm alright. you are the spark 🎶 #LSS
@lizasoberano 😍😍 https://t…";Wed Aug 17 13:39:18 +0000 2016;;0.0;0.0;AileenJannah;Dubai, UAE;en;474.0;False;14139.0;25.22761165;55.1750774842824;#LSS
How Hotels Are Now Benefiting From Big Data https://t.co/73GCacnBUg;Wed Aug 17 13:39:18 +0000 2016;;0.0;0.0;kortxltd;London, England;en;10861.0;False;3191.0;51.5073219;-0.1276473;
conosilac: 1ClickKafkaCluster for Your Big Data Center Cloud - https://t.co/nw2oSUA9J9 LG Optimus F3 Virgin Mobile: https://t.co/PF7oTOy5ey;Wed Aug 17 13:39:28 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066884.0;37.7792808;-122.4192362;
"1979  Monty Python's ""Life of Brian"" premieres ""Always Look On The Bright Side Of Life"" Eric Idle  https://t.co/TItYPh5w1A";Wed Aug 17 13:39:30 +0000 2016;;0.0;0.0;KBow5;Worthington/Columbus;en;940.0;False;48277.0;39.99389515;-83.0124866134615;
RT @Pitt_ATHLETICS: #PantherNation...Get a closer look at the #PittRetro uniforms: https://t.co/mQAGZnGUL4 https://t.co/ScocSHNYU2;Wed Aug 17 13:39:34 +0000 2016;;0.0;0.0;FragelloLA;Huntingdon, PA;en;573.0;True;10574.0;40.3446332;-78.0281184;#PantherNation...Get #PittRetro
‘Big Data’ has quickly become an outdated, catch-all phrase for online marketers #Content https://t.co/hcIEVGkfqC https://t.co/n9UZZipfJx;Wed Aug 17 13:39:45 +0000 2016;;0.0;0.0;Jon_Gelberg;New York City;en;1379.0;True;2674.0;40.7305991;-73.9865811;#Content
@reggiewatts @_liooil sf? Spark Fun?;Wed Aug 17 13:39:50 +0000 2016;;0.0;0.0;3D_Solutions;Winnipeg, MB;en;128.0;False;171.0;49.8833343;-97.166674;
#raspberry #tech #pi - Python • Help programming dht11 sensor - https://t.co/BkpZjOvbdT - I am having trouble using my dht11 reading as a …;Wed Aug 17 13:39:54 +0000 2016;;0.0;0.0;jimoiduts;Mountain View, CA;en;2487.0;False;5215.0;37.3855745;-122.0820499;#raspberry #tech #pi
"Efficient String Concatenation in #Python

.join() wins ....

https://t.co/P9FnZlYvvg";Wed Aug 17 13:39:58 +0000 2016;;0.0;0.0;postenterprise;London, England;en;431.0;False;4166.0;51.5073219;-0.1276473;#Python
Lucky me https://t.co/jciBtpn7wS;Wed Aug 17 13:40:01 +0000 2016;;0.0;0.0;isabellajcurtis;Florida, USA;en;56.0;False;97.0;27.7567667;-81.4639834;
#python_assignment and submission deadline is  close. Get help from python experts https://t.co/07lrFZ05et;Wed Aug 17 13:40:01 +0000 2016;;0.0;0.0;Essay_Corp;Australia;en;914.0;False;4439.0;-24.7761085;134.755;#python_assignment
"RT @MichelleVito: you show me love never apart, you're always there for me i'm alright. you are the spark 🎶 #LSS
@lizasoberano 😍😍 https://t…";Wed Aug 17 13:40:08 +0000 2016;;0.0;0.0;BamosNelsa;Boracay Island, Philippines;en;228.0;False;14650.0;11.9693449;121.922731243477;#LSS
#science Nearly two decades of data reinforce concerns that pesticides are really bad for bees –… https://t.co/BgiXNXg4D2 #maths #tech;Wed Aug 17 13:40:09 +0000 2016;;0.0;0.0;librarynext;Virtual World;en;780.0;False;84437.0;15.591717;73.810089;#science #maths #tech
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:10 +0000 2016;;0.0;0.0;hunnycrise;Central Region, Singapore;en;183.0;True;101125.0;1.28584945;103.806995929441;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:11 +0000 2016;;0.0;0.0;onetwotria;reg's;en;563.0;True;5091.0;41.779955;0.8342466;
EmereoBooks: 1ClickSparkCluster for Your Big Data Center Cloud - https://t.co/Xt9pA8vyao What Wish Knew When Was: https://t.co/G5Dj5WeTeH;Wed Aug 17 13:40:15 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066886.0;37.7792808;-122.4192362;
6 Great Reasons to Bend Big Data to your Will - markITwrite https://t.co/Q4RMykzFdW #BigData;Wed Aug 17 13:40:17 +0000 2016;;0.0;0.0;Brandsensations;Viersen, Germany;de;4677.0;True;14972.0;51.2561445;6.3904284;#BigData
# dog #python #newvideo Animal Fight to Death - Dog vs Python https://t.co/6eZ0Cyj3DV;Wed Aug 17 13:40:17 +0000 2016;;0.0;0.0;SinclairOZ;United States;en;37.0;True;1331.0;39.7837304;-100.4458824;# #python #newvideo
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:19 +0000 2016;;0.0;0.0;JusFuertes;Puerto Princesa City;en;403.0;True;3007.0;9.8688777;118.7479986;
Great movie😂😂 https://t.co/V8pdVeMgR1;Wed Aug 17 13:40:21 +0000 2016;;0.0;0.0;LPerez400m;614✈️302/336;en;1802.0;True;52931.0;13.7979205;100.5880152;
RT @BestMovieLine: Monty Python and the Holy Grail https://t.co/wHZ2kHAzy5;Wed Aug 17 13:40:24 +0000 2016;;0.0;0.0;LPerez400m;614✈️302/336;en;1802.0;True;52932.0;13.7979205;100.5880152;
"RT @Fight4UK: #Ukip 🇬🇧

Jean-Claude Juncker warned he could spark European CIVIL WAR with arrogant Brexit stance https://t.co/aKHFZviimU";Wed Aug 17 13:40:26 +0000 2016;;0.0;0.0;ONCEaBLUE2012;Salford;en-gb;40.0;True;703.0;53.4877463;-2.289192;#Ukip
@TacticalTony702 @amountainman69 @bikesnbullets17 They spray our skies daily then everything erupts like crazy w/a little spark;Wed Aug 17 13:40:29 +0000 2016;;0.0;0.0;PoliticalPort;USA;en;2606.0;False;52045.0;39.7837304;-100.4458824;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:33 +0000 2016;;0.0;0.0;Trishhhh11;sa bahay;en;12.0;False;2024.0;12.6369835;124.437435426217;
"RT @lizasoberano: Listen to ""Spark,"" my single from the Dolce Amore OST album - now on Spotify. Physical release on August 19! ❤️ https://t…";Wed Aug 17 13:40:33 +0000 2016;;0.0;0.0;rolainelorraine;Quezon Quezon;en;354.0;True;10313.0;14.066667;122.133333;
The many layers of NoSQL big data security - Gemalto blog #bigdata - https://t.co/LVqiwKGWHJ https://t.co/QwT7llTHdd;Wed Aug 17 13:40:34 +0000 2016;;0.0;0.0;ElsaToutlemonde;Madrid;en;210.0;True;473.0;40.4167047;-3.7035824;#bigdata
"RT @MichelleVito: you show me love never apart, you're always there for me i'm alright. you are the spark 🎶 #LSS
@lizasoberano 😍😍 https://t…";Wed Aug 17 13:40:36 +0000 2016;;0.0;0.0;KingMylene;Los Angeles, CA;en;12.0;False;1360.0;34.0543942;-118.2439408;#LSS
RT @machinelearnbot: Guide To High Performance Distributed Computing: Case Studies With Hadoop, Scalding A here  https://t.co/UVwg4H1xH1 #h…;Wed Aug 17 13:40:37 +0000 2016;;0.0;0.0;CornellMBA_IC;New York, USA;en;1834.0;True;19132.0;40.7305991;-73.9865811;#h…
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:38 +0000 2016;;0.0;0.0;allybc17;At the crossroads..;en;33.0;False;3023.0;54.2382505;-2.9193406;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:38 +0000 2016;;0.0;0.0;iamkathlene0314;Calamba City, Calabarzon;en;2.0;False;1.0;14.20332695;121.15481880539;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:40 +0000 2016;;0.0;0.0;soberabno;nuggets;en;1158.0;True;335.0;42.3485752;-71.0943232;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:42 +0000 2016;;0.0;0.0;LIZAnianzLguna;Pila Laguna ;en;2925.0;False;6355.0;14.2374875;121.3618083;
RT @MongoDB: #MongoDB named a leader in The @Forrester Wave: #BigData #NoSQL Q3 2016​. Download it now: https://t.co/in4nG37gX2 https://t.c…;Wed Aug 17 13:40:45 +0000 2016;;0.0;0.0;jeanepaul;west tokyo;en;717.0;True;55698.0;35.666924;139.724555;#MongoDB #BigData #NoSQL
RT @machinelearnbot: Hadoop Big Data Interview Questions (illustrated): Shyam Mallesh here  https://t.co/m1h4dyxnXd #hadoop @machinelearnbot;Wed Aug 17 13:40:46 +0000 2016;;0.0;0.0;CornellMBA_IC;New York, USA;en;1834.0;True;19135.0;40.7305991;-73.9865811;#hadoop
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:46 +0000 2016;;0.0;0.0;PrettyVessa;Paris, France;en;181.0;False;1294.0;48.8566101;2.3514992;
Walay spark ang born for you! 😟;Wed Aug 17 13:40:48 +0000 2016;;0.0;0.0;estano2009;Dumaguete City;en;80.0;True;991.0;9.3054777;123.3080446;
RT @craigbrownphd: Amazon Kinesis Analytics and the road to Big Data's killer app: Kinesis Analytics makes i... https://t.co/WOUHY8eXS9 #Bi…;Wed Aug 17 13:40:52 +0000 2016;;0.0;0.0;iresonm6;Detroit;en;56.0;True;3360.0;42.3486635;-83.0567374;#Bi…
_moam4: HyperScale HyperConvergence Big Data Cloud Advanced Training - https://t.co/fFZnt8PZ0S 19th Wife: A Novel: https://t.co/sPjKcNem7e;Wed Aug 17 13:40:56 +0000 2016;;0.0;0.0;CloudataNow;San Francisco, CA;en;880.0;False;2066889.0;37.7792808;-122.4192362;
"RT @ayeshakhan251: Burqa clad Extremist  #Hindu from #RSS caught Red handed while Throwing Beef at Hindu Temple to spark &amp; Muslim riots htt…";Wed Aug 17 13:40:57 +0000 2016;;0.0;0.0;Ashikhan251;Pakistan | Kashmir|;en;24711.0;True;22722.0;34.3752779;73.4730602;#Hindu #RSS
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:58 +0000 2016;;0.0;0.0;sarinasaito_;E;en;1029.0;True;54555.0;8.166667;-69.8333329;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:40:58 +0000 2016;;0.0;0.0;Iam_Hayzeel;Wonderland ✨;en;129.0;False;1819.0;16.3131877;121.1297478;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:41:02 +0000 2016;;0.0;0.0;dendenmarieampo;Philippines;en;67.0;False;2049.0;12.7503486;122.7312101;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:41:04 +0000 2016;;0.0;0.0;vLaineUI;필리핀;en;123.0;True;2381.0;12.7503486;122.7312101;
"RT @Dory: It's always Florida. Always.  RT ”@SeriousStrange: A 17ft python pregnant with 87 eggs was caught in Florida."" https://t.co/pXJfj…";Wed Aug 17 13:41:04 +0000 2016;;0.0;0.0;Rebeccaharrisx;NY;en;546.0;True;54527.0;43.1561681;-75.8449945;
RT @PGOTeamValor: Every revolution begins with a spark. #TeamValor https://t.co/yvbBmfmFHu;Wed Aug 17 13:41:04 +0000 2016;;0.0;0.0;Miss_Plain_Jane;Texas;en;10.0;False;113.0;31.8160381;-99.5120985;#TeamValor
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:41:05 +0000 2016;;0.0;0.0;zenny_joy;Philippines;en;77.0;True;295.0;12.7503486;122.7312101;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:41:06 +0000 2016;;0.0;0.0;aeinkixzer;balungao, pangasinan;en;13.0;False;65.0;15.8983735;120.6724552;
"RT @MichelleVito: you show me love never apart, you're always there for me i'm alright. you are the spark 🎶 #LSS
@lizasoberano 😍😍 https://t…";Wed Aug 17 13:41:07 +0000 2016;;0.0;0.0;LReigna;Pasig city, Philippines;en;35.0;False;5455.0;11.1075813;122.4738288;#LSS
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:41:12 +0000 2016;;0.0;0.0;IsabellaAnne5;الدوحة, دولة قطر;en;0.0;False;38.0;25.2856329;51.5264162;
"RT @ULTIMATE_LQFANB: I made a cover of SPARK. Hope it's not too offensive to the ears 🙈😁

Art by @mspainteilyn ✏

@lizasoberano 💙 https://t…";Wed Aug 17 13:41:19 +0000 2016;;0.0;0.0;lizasobayrano;spark ;en;858.0;False;18814.0;37.7707735;-122.391549575732;
